Element,Wavelength,Intensity,Strength,On,Reference
Fe I,2720.9023,150,,True,NJLT94
Fe I,2723.5774,40,,True,NJLT94
Fe II,2727.5392,50,,True,NLTH91
Fe II,2728.9,50,,True,C74
Fe I,2733.5806,100,,True,NJLT94
Fe I,2735.4753,50,,True,NJLT94
Fe I,2737.3091,50,,True,NJLT94
Fe II,2739.5474,400,P,True,NLTH91
Fe I,2742.4053,80,,True,NJLT94
Fe II,2743.1969,120,,True,NLTH91
Fe II,2746.4838,200,,True,NLTH91
Fe II,2749.3216,400,P,True,NLTH91
Fe II,2749.486,60,,True,NLTH91
Fe I,2750.1406,120,,True,NJLT94
Fe II,2753.2877,50,,True,NLTH91
Fe II,2755.7365,500,P,True,NLTH91
Fe II,2761.81,100,,True,C74
Fe I,2772.074,30,,True,NJLT94
Fe I,2778.2202,60,,True,NJLT94
Fe I,2788.1047,300,P,True,NJLT94
Fe I,2804.5203,40,,True,NJLT94
Fe I,2806.9841,150,,True,NJLT94
Fe I,2813.2864,250,,True,NJLT94
Fe I,2823.2756,30,,True,NJLT94
Fe I,2825.5557,60,,True,NJLT94
Fe I,2832.4355,150,,True,NJLT94
Fe I,2838.1194,20,,True,NJLT94
Fe I,2843.9763,100,,True,NJLT94
Fe I,2851.7969,80,,True,NJLT94
Fe I,2936.9033,120,,True,NJLT94
Fe I,2947.876,100,,True,NJLT94
Fe I,2953.9399,60,,True,NJLT94
Fe I,2966.8982,150,,True,NJLT94
Fe I,2970.0994,80,,True,NJLT94
Fe I,2973.1323,120,,True,NJLT94
Fe I,2973.2354,50,,True,NJLT94
Fe I,2981.4451,60,,True,NJLT94
Fe I,2983.5696,100,,True,NJLT94
Fe I,2994.4268,100,,True,NJLT94
Fe I,2999.5117,50,,True,NJLT94
Fe I,3000.9478,80,,True,NJLT94
Fe I,3008.1382,50,,True,NJLT94
Fe II,3020.01,40,,True,C74
Fe I,3020.4907,50,,True,NJLT94
Fe I,3020.6389,150,,True,NJLT94
Fe I,3021.0728,60,,True,NJLT94
Fe I,3024.0327,50,,True,NJLT94
Fe I,3025.8423,50,,True,NJLT94
